00001,139,1222
00001,151,2211
00001,441,2122
00001,461,1121
00001,533,2222
00001,875,1121
00001,526,1011
00001,370,1010
00001,440,0011
00001,520,1010
00002,875,1011
00002,434,1001
00002,169,1000
00002,454,0100
00002,498,1000
00002,499,1000
00002,592,0002
00003,139,2122
00003,375,2221
00003,633,2222
00003,856,2112
00003,1144,1111
00003,440,1120
00003,454,1220
00003,527,1220
00003,311,0011
00003,370,1001
00004,604,2222
00004,711,2122
00004,876,2222
00004,669,1010
00004,503,0001
00004,538,0100
00004,539,0100
00004,540,0100
00004,553,0001
00005,47,2221
00005,151,2222
00005,256,2211
00005,370,1211
00005,374,2222
00005,439,2222
00005,497,2121
00005,498,1122
00005,499,2122
00005,503,2221
00006,31,2222
00006,503,1220
00006,875,1120
00006,370,0110
00006,592,1010
00006,975,1010
00006,25,0010
00006,90,1000
00006,195,0100
00006,326,0001
00007,371,2122
00007,623,2121
00007,856,2111
00007,1064,1120
00007,256,0101
00007,439,0101
00007,1054,1100
00007,45,0100
00007,53,0001
00007,166,0002
00008,23,2112
00008,499,1122
00008,683,2220
00008,1125,2220
00008,439,1100
00008,169,1000
00008,322,0100
00008,370,1000
00008,386,1000
00008,435,0001
00009,165,1122
00009,414,2222
00009,794,2110
00009,992,1010
00009,1115,0102
00009,174,0001
00009,362,0001
00009,370,0001
00009,443,0100
00009,1040,0001
00010,30,2112
00010,157,2222
00010,170,1112
00010,296,1212
00010,413,2222
00010,581,2222
00010,676,2122
00010,878,2122
00010,1115,1222
00010,1218,2122
00011,796,2222
00011,798,2212
00011,909,2222
00011,991,2222
00011,96,2210
00011,518,2110
00011,428,1002
00011,772,1010
00011,36,0001
00011,46,0001
00012,70,2212
00012,443,2120
00012,466,2220
00012,181,0001
00012,755,0010
00012,918,1000
00012,1115,0001
00013,156,2112
00013,301,1112
00013,314,2222
00013,791,2211
00013,322,1220
00013,443,1120
00013,695,1220
00013,902,1101
00013,462,1010
00013,763,0101
00014,131,2212
00014,150,2222
00014,233,1122
00014,234,1121
00014,344,2112
00014,405,2112
00014,417,1211
00014,462,2212
00014,635,2122
00014,791,2122
00015,59,2122
00015,99,2112
00015,204,2222
00015,205,2212
00015,266,2222
00015,301,2122
00015,322,2122
00015,339,2212
00015,355,2112
00015,364,1112
00016,46,1111
00016,89,2222
00016,95,2222
00016,182,2222
00016,186,2122
00016,301,2222
00016,322,1122
00016,364,2112
00016,370,2112
00016,396,2222
